BRIN NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM VESTIGING;PLAATSNAAM VESTIGING;PROVINCIE VESTIGING;ONDERWIJSTYPE VO EN LEER- OF VERBLIJFSJAAR;LWOO INDICATIE;VMBO SECTOR;AFDELING;ELEMENTCODE;OPLEIDINGSNAAM;LEER- OF VERBLIJFSJAAR 1 - MAN;LEER- OF VERBLIJFSJAAR 1 - VROUW;LEER- OF VERBLIJFSJAAR 2 - MAN;LEER- OF VERBLIJFSJAAR 2 - VROUW;LEER- OF VERBLIJFSJAAR 3 - MAN;LEER- OF VERBLIJFSJAAR 3 - VROUW;LEER- OF VERBLIJFSJAAR 4 - MAN;LEER- OF VERBLIJFSJAAR 4 - VROUW;LEER- OF VERBLIJFSJAAR 5 - MAN;LEER- OF VERBLIJFSJAAR 5 - VROUW;LEER- OF VERBLIJFSJAAR 6 - MAN;LEER- OF VERBLIJFSJAAR 6 - VROUW
00AH;00;Opb SGM t Stedelijk Lyceum;ENSCHEDE;Overijssel;Brugjaar 1-2;J;N.v.t.;N.v.t.;0046;Lj LWOO vb op Alle Lw;9;14;7;16;0;0;0;0;0;0;0;0
00AH;00;Opb SGM t Stedelijk Lyceum;ENSCHEDE;Overijssel;Brugjaar 1-2;N;N.v.t.;N.v.t.;0024;Ljvb op VWO/HAVO/VMBO-Alle Lw;117;140;148;130;0;0;0;0;0;0;0;0
00AH;00;Opb SGM t Stedelijk Lyceum;ENSCHEDE;Overijssel;HAVO lj 4-5;N;N.v.t.;Cultuur en Maatschappij;0373;HAVO Prf Cul/Maat;0;0;0;0;0;0;3;14;3;15;0;0
00AH;00;Opb SGM t Stedelijk Lyceum;ENSCHEDE;Overijssel;HAVO lj 4-5;N;N.v.t.;Economie en Maatschappij;0372;HAVO Prf Ec/Maat;0;0;0;0;0;0;32;20;28;16;0;0
00AH;00;Opb SGM t Stedelijk Lyceum;ENSCHEDE;Overijssel;HAVO lj 4-5;N;N.v.t.;Economie en Maatschappij / Cultuur en Maatschappij;0379;HAVO Prf Ec/Maat & Cul/Maat;0;0;0;0;0;0;0;0;0;1;0;0
00AH;00;Opb SGM t Stedelijk Lyceum;ENSCHEDE;Overijssel;HAVO lj 4-5;N;N.v.t.;Natuur en Gezondheid;0371;HAVO Prf Nat/Gezond;0;0;0;0;0;0;11;19;7;17;0;0
00AH;00;Opb SGM t Stedelijk Lyceum;ENSCHEDE;Overijssel;HAVO lj 4-5;N;N.v.t.;Natuur en Techniek;0370;HAVO Prf Nat/Tech;0;0;0;0;0;0;12;3;14;5;0;0
00AH;00;Opb SGM t Stedelijk Lyceum;ENSCHEDE;Overijssel;HAVO uitbest. aan VAVO;N;N.v.t.;N.v.t.;4031;HAVO NW naar VAVO;0;0;0;0;0;0;2;1;4;1;0;0
00AH;00;Opb SGM t Stedelijk Lyceum;ENSCHEDE;Overijssel;HAVO uitbest. aan VAVO;N;N.v.t.;N.v.t.;4036;HAVO NW naar VAVO teruggekeerd gezakt;0;0;0;0;0;0;0;0;2;1;0;0
00AH;00;Opb SGM t Stedelijk Lyceum;ENSCHEDE;Overijssel;HAVO/VWO lj 3;N;N.v.t.;N.v.t.;0100;VWO-ATHENEUMSTROOM;0;0;0;0;27;40;0;0;0;0;0;0
