BEVOEGD GEZAG NUMMER;GROEPERING;BEVOEGD GEZAG NAAM;JAAR;1.1 - IMMATERIËLE VASTE ACTIVA;1.2 - MATERIËLE VASTE ACTIVA;1.3 - FINANCIËLE VASTE ACTIVA;1.4 - VOORRADEN;1.5 - VORDERINGEN;1.6 - EFFECTEN;1.7 - LIQUIDE MIDDELEN;2.1 - EIGEN VERMOGEN;2.2 - VOORZIENINGEN;2.3 - LANGLOPENDE SCHULDEN;2.4 - KORTLOPENDE SCHULDEN;TA - TOTAAL ACTIVA;TP - TOTAAL PASSIVA;TVA - TOTAAL VASTE ACTIVA;TVLA - TOTAAL VLOTTENDE ACTIVA
10028;SSG1;Gemeente Ameland;2009;;136.486;;;5.564;;447.340;381.255;82.679;;125.456;589.390;589.390;136.486;452.904
10028;SSG1;Gemeente Ameland;2010;;128.273;;;8.431;;592.625;529.394;80.818;;119.117;729.329;729.329;128.273;601.056
10028;SSG1;Gemeente Ameland;2011;;101.296;;;43.139;;678.060;641.264;45.486;;135.747;822.495;822.497;101.296;721.199
10028;SSG1;Gemeente Ameland;2012;;169.405;;;9.586;;801.287;792.670;41.184;;146.426;980.278;980.280;169.405;810.873
10028;SSG1;Gemeente Ameland;2013;;483.452;;;6.959;;632.460;920.027;43.607;;159.237;1.122.871;1.122.871;483.452;639.419
10053;SSG1;Gemeente Assen;2009;;664.053;;;347.798;;1.350.468;1.359.801;148.871;;853.644;2.362.319;2.362.316;664.053;1.698.266
10053;SSG1;Gemeente Assen;2010;;640.814;;;342.098;;1.417.950;1.487.749;181.531;;731.582;2.400.862;2.400.862;640.814;1.760.048
10053;SSG1;Gemeente Assen;2011;;540.887;;;343.090;;1.561.744;1.549.799;258.250;;637.672;2.445.721;2.445.721;540.887;1.904.834
10053;SSG1;Gemeente Assen;2012;;512.291;;;384.035;;1.858.763;1.995.534;263.123;;496.432;2.755.089;2.755.089;512.291;2.242.798
10053;SSG1;Gemeente Assen;2013;;698.957;;;371.562;;1.998.734;2.313.537;270.959;;484.757;3.069.253;3.069.253;698.957;2.370.296
10869;SSG4;Gemeente Texel;2009;;465.828;429.876;;352.302;;2.633.222;2.671.071;363.683;;846.474;3.881.228;3.881.228;895.704;2.985.524
10869;SSG4;Gemeente Texel;2010;;1.813.286;454.959;;120.261;;1.308.631;2.713.829;180.176;;803.132;3.697.137;3.697.137;2.268.245;1.428.892
10869;SSG4;Gemeente Texel;2011;;1.584.479;450.587;;99.781;;1.143.145;2.374.154;150.469;;753.369;3.277.992;3.277.992;2.035.066;1.242.926
10869;SSG4;Gemeente Texel;2012;;1.366.784;429.023;;138.159;;985.514;2.011.150;120.655;;787.675;2.919.480;2.919.480;1.795.807;1.123.673
10869;SSG4;Gemeente Texel;2013;;1.190.106;;;120.339;;1.623.166;2.029.582;132.381;;771.648;2.933.611;2.933.611;1.190.106;1.743.505
10907;SSG3;Gemeente Veenendaal;2009;;1.681.810;406.264;;2.323.736;;2.798;2.761.224;613.661;;1.039.723;4.414.608;4.414.608;2.088.074;2.326.534
10907;SSG3;Gemeente Veenendaal;2010;;1.769.438;406.506;;1.387.123;;258.734;2.540.458;450.054;;831.289;3.821.801;3.821.801;2.175.944;1.645.857
10907;SSG3;Gemeente Veenendaal;2011;;1.806.604;404.325;;1.440.337;;21.129;2.369.055;483.210;;820.130;3.672.395;3.672.395;2.210.929;1.461.466
10907;SSG3;Gemeente Veenendaal;2012;;1.860.702;;;1.435.013;;211.459;2.161.672;555.294;;790.208;3.507.174;3.507.174;1.860.702;1.646.472
10907;SSG3;Gemeente Veenendaal;2013;;2.173.034;;;1.044.522;;114.135;1.909.200;646.679;;775.812;3.331.691;3.331.691;2.173.034;1.158.657
10928;SSG1;Gemeente Vlieland;2009;;72.587;;;27.424;;229.308;178.697;48.822;;101.800;329.319;329.319;72.587;256.732
10928;SSG1;Gemeente Vlieland;2010;;67.237;;;28.797;;127.236;103.800;13.458;;106.012;223.270;223.270;67.237;156.033
10928;SSG1;Gemeente Vlieland;2011;;53.712;;;31.027;;102.838;62.045;14.667;;110.865;187.577;187.577;53.712;133.865
10928;SSG1;Gemeente Vlieland;2012;;58.779;;;34.158;;134.596;93.369;17.161;;117.003;227.533;227.533;58.779;168.754
10928;SSG1;Gemeente Vlieland;2013;;50.566;;;26.580;;177.764;80.592;11.839;;162.478;254.910;254.909;50.566;204.344
11107;SSG1;Gemeente Lelystad M Z;2009;;1.897.395;;;6.282.031;;9.862.735;8.822.350;1.398.306;;7.821.505;18.042.161;18.042.161;1.897.395;16.144.766
11107;SSG1;Gemeente Lelystad M Z;2010;;197.022;;;1.679.278;;462.778;1.820.874;210.337;;307.867;2.339.078;2.339.078;197.022;2.142.056
