BRIN NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM VESTIGING;GEMEENTENAAM VESTIGING;PROVINCIE VESTIGING;ONDERWIJSTYPE VO;LEERWEG VMBO;VMBO SECTOR;AFDELING;EXAMENKANDIDATEN;GESLAAGDEN;GEZAKTEN;GEMIDDELD CIJFER SCHOOLEXAMEN;GEMIDDELD CIJFER CENTRAAL EXAMEN;GEMIDDELD CIJFER CIJFERLIJST
00AH;00AH00;Opb SGM t Stedelijk Lyceum;ENSCHEDE;Overijssel;HAVO;;;Cultuur en Maatschappij;17;14;3;6,4;5,5;6,2
00AH;00AH00;Opb SGM t Stedelijk Lyceum;ENSCHEDE;Overijssel;HAVO;;;Economie en Maatschappij;43;39;4;6,3;5,8;6,3
00AH;00AH00;Opb SGM t Stedelijk Lyceum;ENSCHEDE;Overijssel;HAVO;;;Economie en Maatschappij / Cultuur en Maatschappij;3;2;1;6,0;5,2;5,8
00AH;00AH00;Opb SGM t Stedelijk Lyceum;ENSCHEDE;Overijssel;HAVO;;;Natuur en Gezondheid;14;13;1;6,3;6,2;6,4
00AH;00AH00;Opb SGM t Stedelijk Lyceum;ENSCHEDE;Overijssel;HAVO;;;Natuur en Techniek;8;5;3;6,1;6,0;6,1
00AH;00AH00;Opb SGM t Stedelijk Lyceum;ENSCHEDE;Overijssel;HAVO;;;Natuur en Techniek / Natuur en Gezondheid;18;17;1;6,4;6,2;6,5
00AH;00AH00;Opb SGM t Stedelijk Lyceum;ENSCHEDE;Overijssel;VWO;;;Cultuur en Maatschappij;7;6;1;6,8;6,1;6,7
00AH;00AH00;Opb SGM t Stedelijk Lyceum;ENSCHEDE;Overijssel;VWO;;;Economie en Maatschappij;14;10;4;6,6;5,6;6,4
00AH;00AH00;Opb SGM t Stedelijk Lyceum;ENSCHEDE;Overijssel;VWO;;;Economie en Maatschappij / Cultuur en Maatschappij;6;5;1;6,7;5,5;6,3
00AH;00AH00;Opb SGM t Stedelijk Lyceum;ENSCHEDE;Overijssel;VWO;;;Natuur en Gezondheid;18;16;2;6,4;6,0;6,5
00AH;00AH00;Opb SGM t Stedelijk Lyceum;ENSCHEDE;Overijssel;VWO;;;Natuur en Techniek;3;3;0;6,3;6,2;6,6
00AH;00AH00;Opb SGM t Stedelijk Lyceum;ENSCHEDE;Overijssel;VWO;;;Natuur en Techniek / Natuur en Gezondheid;25;21;4;7,1;6,6;7,0
00AH;00AH07;Opb SGM t Stedelijk Lyceum;ENSCHEDE;Overijssel;HAVO;;;Cultuur en Maatschappij;19;15;4;6,4;5,7;6,2
00AH;00AH07;Opb SGM t Stedelijk Lyceum;ENSCHEDE;Overijssel;HAVO;;;Economie en Maatschappij;46;36;10;6,0;5,9;6,2
00AH;00AH07;Opb SGM t Stedelijk Lyceum;ENSCHEDE;Overijssel;HAVO;;;Economie en Maatschappij / Cultuur en Maatschappij;5;4;1;6,3;6,2;6,3
00AH;00AH07;Opb SGM t Stedelijk Lyceum;ENSCHEDE;Overijssel;HAVO;;;Natuur en Gezondheid;14;12;2;6,4;6,0;6,4
00AH;00AH07;Opb SGM t Stedelijk Lyceum;ENSCHEDE;Overijssel;HAVO;;;Natuur en Techniek;11;11;0;6,6;6,7;6,7
00AH;00AH07;Opb SGM t Stedelijk Lyceum;ENSCHEDE;Overijssel;HAVO;;;Natuur en Techniek / Natuur en Gezondheid;13;12;1;6,6;6,7;6,7
00AH;00AH07;Opb SGM t Stedelijk Lyceum;ENSCHEDE;Overijssel;VWO;;;Cultuur en Maatschappij;8;7;1;6,8;5,8;6,5
00AH;00AH07;Opb SGM t Stedelijk Lyceum;ENSCHEDE;Overijssel;VWO;;;Economie en Maatschappij;14;12;2;6,6;5,7;6,4
00AH;00AH07;Opb SGM t Stedelijk Lyceum;ENSCHEDE;Overijssel;VWO;;;Economie en Maatschappij / Cultuur en Maatschappij;7;7;0;6,9;6,0;6,8
00AH;00AH07;Opb SGM t Stedelijk Lyceum;ENSCHEDE;Overijssel;VWO;;;Natuur en Gezondheid;10;9;1;6,8;6,1;6,8
00AH;00AH07;Opb SGM t Stedelijk Lyceum;ENSCHEDE;Overijssel;VWO;;;Natuur en Techniek;4;3;1;6,8;6,7;7,0
00AH;00AH07;Opb SGM t Stedelijk Lyceum;ENSCHEDE;Overijssel;VWO;;;Natuur en Techniek / Natuur en Gezondheid;26;26;0;7,0;6,7;7,1
00AH;00AH17;Opb SGM t Stedelijk Lyceum;ENSCHEDE;Overijssel;VMBO;BL;Economie;Consumptief;8;8;0;6,6;6,3;6,5
00AH;00AH17;Opb SGM t Stedelijk Lyceum;ENSCHEDE;Overijssel;VMBO;BL;Economie;Handel en Administratie -ISP;10;7;3;6,1;6,1;6,2
00AH;00AH17;Opb SGM t Stedelijk Lyceum;ENSCHEDE;Overijssel;VMBO;BL;Intersect. programma;Sport, Dienstverlening en Veiligheid;14;14;0;6,3;6,3;6,3
00AH;00AH17;Opb SGM t Stedelijk Lyceum;ENSCHEDE;Overijssel;VMBO;BL;Techniek;Bouwtechniek;9;8;1;6,1;6,0;6,1
00AH;00AH17;Opb SGM t Stedelijk Lyceum;ENSCHEDE;Overijssel;VMBO;BL;Techniek;Elektrotechniek;6;6;0;6,5;6,5;6,4
00AH;00AH17;Opb SGM t Stedelijk Lyceum;ENSCHEDE;Overijssel;VMBO;BL;Techniek;Grafische Techniek;5;5;0;6,6;6,7;6,7
00AH;00AH17;Opb SGM t Stedelijk Lyceum;ENSCHEDE;Overijssel;VMBO;BL;Techniek;Installatietechniek;4;2;2;5,9;5,6;5,9
00AH;00AH17;Opb SGM t Stedelijk Lyceum;ENSCHEDE;Overijssel;VMBO;BL;Techniek;Metaaltechniek;2;2;0;6,4;5,7;6,3
00AH;00AH17;Opb SGM t Stedelijk Lyceum;ENSCHEDE;Overijssel;VMBO;BL;Techniek;Voertuigentechniek;8;7;1;6,5;6,4;6,5
00AH;00AH17;Opb SGM t Stedelijk Lyceum;ENSCHEDE;Overijssel;VMBO;BL;Zorg & Welzijn;Uiterlijke Verzorging;4;4;0;6,5;6,1;6,3
00AH;00AH17;Opb SGM t Stedelijk Lyceum;ENSCHEDE;Overijssel;VMBO;BL;Zorg & Welzijn;Verzorging;17;16;1;6,2;6,1;6,3
00AH;00AH17;Opb SGM t Stedelijk Lyceum;ENSCHEDE;Overijssel;VMBO;KL;Economie;Consumptief;4;4;0;6,5;6,1;6,4
00AH;00AH17;Opb SGM t Stedelijk Lyceum;ENSCHEDE;Overijssel;VMBO;KL;Economie;Handel en Administratie -ISP;16;15;1;6,8;6,3;6,6
00AH;00AH17;Opb SGM t Stedelijk Lyceum;ENSCHEDE;Overijssel;VMBO;KL;Intersect. programma;Sport, Dienstverlening en Veiligheid;35;32;3;6,2;5,9;6,2
00AH;00AH17;Opb SGM t Stedelijk Lyceum;ENSCHEDE;Overijssel;VMBO;KL;Techniek;Bouwbreed -ISP;2;2;0;6,5;6,3;6,4
00AH;00AH17;Opb SGM t Stedelijk Lyceum;ENSCHEDE;Overijssel;VMBO;KL;Techniek;Elektrotechniek;2;2;0;6,1;6,0;6,0
00AH;00AH17;Opb SGM t Stedelijk Lyceum;ENSCHEDE;Overijssel;VMBO;KL;Techniek;Grafische Techniek;17;15;2;6,7;6,2;6,5
00AH;00AH17;Opb SGM t Stedelijk Lyceum;ENSCHEDE;Overijssel;VMBO;KL;Techniek;Installatietechniek;3;2;1;6,6;5,7;6,2
