BRIN NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM VESTIGING;GEMEENTENAAM VESTIGING;PROVINCIE VESTIGING;ONDERWIJSTYPE VO;LEERWEG VMBO;VMBO SECTOR;AFDELING;EXAMENKANDIDATEN;GESLAAGDEN;GEZAKTEN;GEMIDDELD CIJFER SCHOOLEXAMEN;GEMIDDELD CIJFER CENTRAAL EXAMEN;GEMIDDELD CIJFER CIJFERLIJST
00AH;0;Opb SGM t Stedelijk Lyceum;ENSCHEDE;Overijssel;HAVO;;;Cultuur en Maatschappij;9;9;0;6,8;6,2;6,7
00AH;0;Opb SGM t Stedelijk Lyceum;ENSCHEDE;Overijssel;HAVO;;;Economie en Maatschappij;29;27;2;6,4;6,1;6,4
00AH;0;Opb SGM t Stedelijk Lyceum;ENSCHEDE;Overijssel;HAVO;;;Economie en Maatschappij / Cultuur en Maatschappij;3;2;1;6,1;5,5;6
00AH;0;Opb SGM t Stedelijk Lyceum;ENSCHEDE;Overijssel;HAVO;;;Natuur en Gezondheid;15;13;2;6,3;6;6,3
00AH;0;Opb SGM t Stedelijk Lyceum;ENSCHEDE;Overijssel;HAVO;;;Natuur en Techniek;5;5;0;6,7;6,5;6,5
00AH;0;Opb SGM t Stedelijk Lyceum;ENSCHEDE;Overijssel;HAVO;;;Natuur en Techniek / Natuur en Gezondheid;10;8;2;6,2;5,9;6,2
00AH;0;Opb SGM t Stedelijk Lyceum;ENSCHEDE;Overijssel;VWO;;;Cultuur en Maatschappij;2;1;1;6,6;5,4;6,2
00AH;0;Opb SGM t Stedelijk Lyceum;ENSCHEDE;Overijssel;VWO;;;Economie en Maatschappij;7;4;3;6,4;5,5;6,3
00AH;0;Opb SGM t Stedelijk Lyceum;ENSCHEDE;Overijssel;VWO;;;Economie en Maatschappij / Cultuur en Maatschappij;6;5;1;6,5;5,4;6,4
00AH;0;Opb SGM t Stedelijk Lyceum;ENSCHEDE;Overijssel;VWO;;;Natuur en Gezondheid;14;12;2;6,4;5,8;6,4
