BEVOEGD GEZAG NUMMER;GROEPERING;BEVOEGD GEZAG NAAM;JAAR;LIQUIDITEIT (CURRENT RATIO);RENTABILITEIT;SOLVABILITEIT 1;SOLVABILITEIT 2;ALGEMENE RESERVE / TOTALE BATEN;BELEGGINGEN (T.O.V. EV);CONTRACTACTIVITEITEN / RIJKSBIJDRAGE;CONTRACTACTIVITEITEN / TOTALE BATEN;EIGEN VERMOGEN / TOTALE BATEN;INVESTERING HUISVESTING / TOTALE BATEN;INVESTERINGEN (INVENT.+APP.) / TOTALE BATEN;KAPITALISATIEFACTOR;LIQUIDITEIT (QUICK RATIO);OV. OVERHEIDSBIJDRAGEN / TOT. BATEN;PERSONEEL / RIJKSBIJDRAGEN;PERSONELE LASTEN / TOTALE LASTEN;RIJKSBIJDRAGEN / TOTALE BATEN;VOORZIENINGEN /TOTALE BATEN;WEERSTANDSVERMOGEN (-/- MVA);WEERSTANDSVERMOGEN VO TOTALE BN.;WERKKAPITAAL / TOTALE BATEN;HUISVESTINGSLASTEN / TOTALE LASTEN;WERKKAPITAAL;(KORTL. SCHULDEN / TOTALE BATEN) * 365;(VORDERINGEN / TOTALE BATEN) * 365
10028;SSG1;Gemeente Ameland;2009;3,61;12,6;0,65;0,79;21,5;0;0;0;22,3;0,6;0;33,69;3,61;0,2;80,8;81,9;88,6;4,8;16,2;22,30;19,2;2,9;327.448,00;27;1
10028;SSG1;Gemeente Ameland;2010;5,05;9,6;0,73;0,84;33,4;0;0;0;34,3;1,8;0;46,5;5,05;0,1;78,1;84,9;98,2;5,2;26,5;34,30;31,3;3,1;481.939,00;28;2
10028;SSG1;Gemeente Ameland;2011;5,31;6,6;0,78;0,83;37,3;0;0;0;38,1;0,3;0;48,25;5,31;0,1;83,4;86;96,2;2,7;33,4;38,10;34,8;3;585.452,00;29;9
10028;SSG1;Gemeente Ameland;2012;5,54;8,5;0,81;0,85;43,7;0;0;0;44,5;5,2;0;54,54;5,54;0,1;78,7;85,3;99,1;2,3;35,3;44,50;37,3;2,6;664.447,00;30;2
10028;SSG1;Gemeente Ameland;2013;4,02;6,9;0,82;0,86;48,8;0;0;0;49,6;18,5;0;60,1;4,02;0,1;81,6;80,8;92,3;2,3;25,5;49,60;25,9;3,6;480.182,00;31;1
10053;SSG1;Gemeente Assen;2009;1,99;7,2;0,58;0,64;52,3;0;0;0;52,3;20,4;0;90,79;1,99;0,2;71,8;73,8;95,4;5,7;28;52,30;32,5;7,6;844.622,00;120;49
10053;SSG1;Gemeente Assen;2010;2,41;3;0,62;0,7;55,2;0;0;0;55,2;3,4;0;89,01;2,41;3,3;73,6;73;96,2;6,7;32,7;55,20;38,1;7,8;1.028.466,00;99;46
10053;SSG1;Gemeente Assen;2011;2,99;2,3;0,63;0,74;56,3;0;0;0;56,3;0,6;0;88,82;2,99;3,3;81,1;73,9;89,1;9,4;41,1;56,30;46;6,9;1.267.162,00;85;45
10053;SSG1;Gemeente Assen;2012;4,52;14,1;0,72;0,82;61,4;0;0;0;63;2;0,8;86,24;4,52;5,3;76;74;83,6;8,3;56;63,00;55,1;4,7;1.746.366,00;57;44
10053;SSG1;Gemeente Assen;2013;4,89;10,8;0,75;0,84;69,4;0;0;0;78,2;2;8,6;94,75;4,89;3;70,7;73,9;93,2;9,2;58,6;78,20;63,8;4,8;1.885.539,00;60;46
10869;SSG4;Gemeente Texel;2009;3,53;4,1;0,69;0,78;37,5;0;0;0;37,5;1,8;0;54,54;3,53;0,8;84,9;85,8;96,9;5,1;32;37,50;30,1;6,7;2.139.050,00;43;18
10869;SSG4;Gemeente Texel;2010;1,78;-1,7;0,73;0,78;26,6;0;0;0;36,3;21,3;0;49,45;1,78;0,8;86,9;82,9;97;2,4;12,4;36,30;8,4;6,8;625.760,00;39;6
10869;SSG4;Gemeente Texel;2011;1,65;-4,6;0,72;0,77;23,3;0;0;0;32,1;1,1;0;44,28;1,65;1,2;89,5;82,3;96,1;2;11,1;32,10;6,6;5,8;489.557,00;37;5
10869;SSG4;Gemeente Texel;2012;1,43;-5,1;0,69;0,73;23,5;0;0;0;28;0,9;0;40,68;1,43;0,7;91;83,5;96,3;1,7;9,3;28,00;4,7;5,3;335.998,00;40;7
10869;SSG4;Gemeente Texel;2013;2,26;0,2;0,69;0,74;18,6;0;0;0;26,1;1,1;0;37,66;2,26;0,9;84,1;81,9;97,1;1,7;11,1;26,10;12,5;7,3;971.857,00;36;6
10907;SSG3;Gemeente Veenendaal;2009;2,24;-2,4;0,63;0,76;9,9;0;0;0;39,5;3,4;10,1;50,01;2,24;0,5;79,2;75,3;97,4;8,8;15,9;39,50;18,4;5,9;1.286.811,00;54;121
10907;SSG3;Gemeente Veenendaal;2010;1,98;-4,9;0,66;0,78;10,7;0;0;0;37,1;2,8;1,4;41,78;1,98;1,1;84,9;78,8;97,4;6,6;11,6;37,10;11,9;5,3;814.568,00;44;74
10907;SSG3;Gemeente Veenendaal;2011;1,78;-2,5;0,65;0,78;12,3;0;0;0;35,1;3,4;0,5;40,61;1,78;1;83,2;79,4;97,8;7,2;8,5;35,10;9,5;5,8;641.336,00;44;78
10907;SSG3;Gemeente Veenendaal;2012;2,08;2,7;0,62;0,77;6,1;0;0;0;30,1;3,7;0,7;35,99;2,08;0,8;80,2;81;98,2;7,7;4,3;30,10;11,9;5,4;856.264,00;40;73
10907;SSG3;Gemeente Veenendaal;2013;1,49;-3,3;0,57;0,77;10,1;0;0;0;25,1;7,5;0,6;31,95;1,49;1,5;83,4;78,8;97,6;8,5;-3,6;25,10;5;5,9;382.845,00;37;50
10928;SSG1;Gemeente Vlieland;2009;2,52;-1,6;0,54;0,69;12,2;0;0;0;12,6;1,1;0;21,93;2,52;4,9;82,7;75,9;93,2;3,4;8;12,60;10,9;7,7;154.932,00;26;7
10928;SSG1;Gemeente Vlieland;2010;1,47;-5,8;0,46;0,53;7,3;0;0;0;7,3;0,9;0;14,68;1,47;1,4;89;78,6;93,4;0,9;2,7;7,30;3,5;7,7;50.021,00;27;7
10928;SSG1;Gemeente Vlieland;2011;1,21;-3;0,33;0,41;4,5;0;0;0;4,5;0,4;0;12,92;1,21;1,6;87;80,7;95,6;1,1;0,6;4,50;1,7;7,4;23.000,00;29;8
10928;SSG1;Gemeente Vlieland;2012;1,44;2,1;0,41;0,49;6,3;0;0;0;6,3;1,4;0;14,74;1,44;1,1;81,9;80,4;96,1;1,2;2,4;6,30;3,5;7,4;51.751,00;29;8
10928;SSG1;Gemeente Vlieland;2013;1,26;-0,9;0,32;0,36;5,7;0;0;0;5,7;0,5;0;17,47;1,26;1,1;83,3;79;95,8;0,8;2,2;5,70;3;8,1;41.866,00;42;7
11107;SSG1;Gemeente Lelystad M Z;2009;2,06;1,8;0,49;0,57;10,1;0;0;0;29,5;1,2;0;60,37;2,06;6,4;92,4;84,1;89,4;4,7;25,9;29,50;27,8;4,8;8.323.261,00;96;77
11107;SSG1;Gemeente Lelystad M Z;2010;6,96;1,5;0,78;0,87;28,3;0;0;0;58,3;1,7;0;74,94;6,96;0;84,4;80,4;93,8;6,7;55,5;58,30;58,8;4;1.834.189,00;36;196
11107;SSG1;Gemeente Lelystad M Z;2011;5,08;-7,3;0,71;0,82;49;0;0;0;51,9;1,3;0;72,83;5,08;11,5;101;80,7;85,7;7,8;53,3;51,90;53,5;8,6;1.644.117,00;48;217
11107;SSG1;Gemeente Lelystad M Z;2012;1,41;-14,3;0,25;0,31;40,1;0;0;0;42,2;0,1;0;168,6;1,41;8,1;106;84;90,6;10,6;40,4;42,20;47,2;5,2;1.330.716,00;422;28
