BEVOEGD GEZAG NUMMER;BEVOEGD GEZAG NAAM;GROEPERING;FUNCTIECATEGORIE;FUNCTIE;VOORZITTER;INGANSDATUM DIENSTVERBAND;EINDDATUM DIENSTVERBAND;OMVANG DIENSTVERBAND IN FTE;BELONING;BELASTBARE VASTE EN VARIABELE ONKOSTENVERGOEDING;VOORZIENING T.B.V. BELONING BETAAL OP TERMIJN;UITKERINGEN WEGENS BEËINDIGING V/H DIENSTVERBAND;MOTIVATIE OVERSCHRIJDING
40065;Ver. Chr. Voortgezet Onderwijs;SSG4;Bestuurders;Directeur bestuurder;N;1-8-2006;31-12-2013;1,00;111.330;829;17.754;75.000;
40065;Ver. Chr. Voortgezet Onderwijs;SSG4;Toezichthouders;Voorzitter;J;1-8-2005;;;275;;;;
40065;Ver. Chr. Voortgezet Onderwijs;SSG4;Toezichthouders;Secretaris;N;1-8-2009;;;250;;;;
40065;Ver. Chr. Voortgezet Onderwijs;SSG4;Toezichthouders;Penningmeester;N;1-8-2010;;;225;;;;
40065;Ver. Chr. Voortgezet Onderwijs;SSG4;Toezichthouders;Algemeen Bestuurslid;N;1-8-2012;;;150;;;;
40065;Ver. Chr. Voortgezet Onderwijs;SSG4;Toezichthouders;Algemeen Bestuurslid;N;1-8-2012;;;300;;;;
90897;Inspecteur Boelensschool;SSG1;Bestuurders;Directeur bestuurder;N;1-8-2006;31-12-2013;1,00;111.330;829;17.754;75.000;
90897;Inspecteur Boelensschool;SSG1;Toezichthouders;Voorzitter;J;4-8-2005;;;275;;;;
90897;Inspecteur Boelensschool;SSG1;Bestuurders;Directeur;N;1-8-2010;;1,00;95.169;1.428;14.913;;
90897;Inspecteur Boelensschool;SSG1;Toezichthouders;Secretaris;N;1-8-2009;;;250;;;;
90897;Inspecteur Boelensschool;SSG1;Toezichthouders;Penningmeester;N;1-8-2010;;;225;;;;
90897;Inspecteur Boelensschool;SSG1;Toezichthouders;Algemeen Bestuurslid;N;1-8-2012;;;150;;;;
90897;Inspecteur Boelensschool;SSG1;Toezichthouders;Algemeen Bestuurslid;N;1-8-2012;;;300;;;;
42606;Stg v Chr Pro N.O Fr.;PRO;Bestuurders;Directeur bestuurder;N;1-8-2016;31-12-2012;1,00;111.330;829;17.754;75.000;
42606;J J Boumanschool;PRO;Toezichthouders;Voorzitter;J;1-8-2005;;;275;;;;
42606;J J Boumanschool;PRO;Bestuurders;Directeur;N;;;1,00;80.486;;12.726;;
42606;J J Boumanschool;PRO;Toezichthouders;Secretaris;N;1-8-2009;;;250;;;;
42606;J J Boumanschool;PRO;Toezichthouders;Penningmeester;N;1-8-2010;;;225;;;;
42606;J J Boumanschool;PRO;Toezichthouders;Algemeen bestuurslid;N;1-8-2012;;;150;;;;
42606;J J Boumanschool;PRO;Toezichthouders;Algemeen bestuurslid;N;1-8-2012;;;300;;;;
10028;Gemeente Ameland;SSG1;Bestuurders;directeur;N;1-9-2012;;1,00;98.968;9.199;;;
10053;Gemeente Assen;SSG1;Bestuurders;Algemeen directeur;N;1-4-2003;;1,00;93.218;342;;;
10869;Gemeente Texel;SSG4;Bestuurders;Rector;N;15-10-1992;1-11-2014;1,00;79.127;;13.098;;
10869;Gemeente Texel;SSG4;Bestuurders;Rector a.i.;N;5-7-2014;;1,00;39.050;;5.828;;
10928;Gemeente Vlieland;SSG1;Bestuurders;Directeur;N;1-1-2013;31-12-2013;1,00;74.317;13;4.743;;
10928;Gemeente Vlieland;SSG1;Interim Bestuurder;Nieuwe post;N;1-1-2013;31-12-2013;1,00;62.365;29;3.924;;
11107;Gemeente Lelystad;SSG1;Bestuurders;Directeur;J;1-4-2007;;1,00;87.579;;;;
11107;Gemeente Lelystad;SSG1;Interim Bestuurder;Bestuurder;;1-4-2011;1-8-2014;;;;;;
